cycle_idx,start,end,length,stat_score_raw,dl_score_raw,stat_score_norm,dl_score_norm,fused_score,is_anomaly,detection_type,stat_flagged,dl_flagged
1,1904,3807,1904,,0.35259250201542514,,0.023679953972198346,0.023679953972198346,False,TEMPLATE,False,False
2,3808,5711,1904,,0.1863996756987439,,0.0024035287442804674,0.0024035287442804674,False,TEMPLATE,False,False
3,5712,7615,1904,,0.28637186385889496,,0.015202220681847529,0.015202220681847529,False,TEMPLATE,False,False
4,7616,9519,1904,,0.3101120466701643,,0.01824149882444672,0.01824149882444672,False,TEMPLATE,False,False
5,9520,11423,1904,,0.17456880058179433,,0.0008889102412714347,0.0008889102412714347,False,TEMPLATE,False,False
6,11424,13327,1904,,0.20795287806282026,,0.005162824128352198,0.005162824128352198,False,TEMPLATE,False,False
7,13328,15231,1904,,0.2776477218786668,,0.0140853339988666,0.0140853339988666,False,TEMPLATE,False,False
8,15232,17135,1904,,0.26996114759822376,,0.013101279352458146,0.013101279352458146,False,TEMPLATE,False,False
9,17136,19039,1904,,0.1365135627921619,,0.0,0.0,False,TEMPLATE,False,False
10,19040,20943,1904,,0.2882721933829425,,0.015445505665459028,0.015445505665459028,False,TEMPLATE,False,False
11,20944,22847,1904,,0.2356291343371763,,0.008706008333475285,0.008706008333475285,False,TEMPLATE,False,False
12,22848,24751,1904,,0.3188664980418118,,0.01936226579224216,0.01936226579224216,False,TEMPLATE,False,False
13,24752,26655,1904,,0.19573343296414586,,0.0035984599152231143,0.0035984599152231143,False,TEMPLATE,False,False
14,26656,28559,1904,,0.17982222278159396,,0.0015614666151051325,0.0015614666151051325,False,TEMPLATE,False,False
15,28560,30463,1904,,0.1801603990606964,,0.0016047607961816846,0.0016047607961816846,False,TEMPLATE,False,False
16,30464,32367,1904,,0.21336002024839182,,0.005855060122875906,0.005855060122875906,False,TEMPLATE,False,False
17,32368,34271,1904,4.415411673517417,0.8284562506402532,1.0,0.08460123252967493,0.6391757276067943,True,STAT_ONLY,True,False
18,34272,36175,1904,1.8870565518511704,0.21216637285909168,0.0,0.0057022463703824584,0.0022476640462231645,False,NORMAL,False,False
19,36176,38079,1904,,0.280597821774858,,0.01446301323597516,0.01446301323597516,False,TEMPLATE,False,False
20,38080,39983,1904,,0.2629673936516391,,0.012205921314419726,0.012205921314419726,False,TEMPLATE,False,False
21,39984,41887,1904,,0.18124180278499372,,0.0017432048312892008,0.0017432048312892008,False,TEMPLATE,False,False
22,41888,43791,1904,,0.3258118493368211,,0.020251427200619124,0.020251427200619124,False,TEMPLATE,False,False
23,43792,45695,1904,,0.24036044413568797,,0.009311722559469193,0.009311722559469193,False,TEMPLATE,False,False
24,45696,47599,1904,,0.16762541118455207,,0.0,0.0,False,TEMPLATE,False,False
25,47600,49503,1904,,0.2342167484091112,,0.008525191120979124,0.008525191120979124,False,TEMPLATE,False,False
26,49504,51407,1904,1.7831351717897292,0.2917720571309069,0.0,0.015893567058912754,0.00626479406959735,False,NORMAL,False,False
27,51408,53311,1904,2.9171506074748192,0.30418146096053533,0.38023051320215073,0.017482250268385468,0.23724542005342286,False,NORMAL,False,False
28,53312,55215,1904,5.921958109681214,0.20801534317541626,1.0,0.005170821069778356,0.6078665086746864,True,BOTH,True,True
29,55216,57119,1904,3.6316492857256386,0.2765529140333119,0.6808627188401176,0.013945173934338629,0.4179827080313946,True,BOTH,True,True
30,57120,59023,1904,3.486667954855232,0.27851783181325085,0.6198604264599522,0.014196727669541467,0.38112494723820184,True,BOTH,True,True
31,59024,60927,1904,4.4990756612447225,0.18561427084798063,1.0,0.0023029792322993257,0.6067360866322723,True,BOTH,True,True
32,60928,62831,1904,5.868855737731056,4.479706532149404,1.0,0.5520435122277971,0.8234282374981887,True,BOTH,True,True
33,62832,64735,1904,4.603642435649987,4.157225963142183,1.0,0.5107587355860881,0.8071549476249383,True,BOTH,True,True
34,64736,66639,1904,5.71441287084781,12.810764428642061,1.0,1.0,1.0,True,BOTH,True,True
